new_id,Response_ID,Recorded_Date,best_lat,best_lon,input_category,distance_m,sweep,gender,age,race_White,race_Hispanic,race_Black,last_30_noshelter,_3year_noshelter,sweeps_100m,closures_100m,sweeps_200m,closures_200m,shelter_aversion_score,top_shelter_attribute,Rank___Level_of_privacy,Rank___Length_allowed_to_stay,Rank___Security_Guards,Rank___Case_Management,Rank___Close_to_transit,Rank___Proximity_to_where_you_st,Rank___Substance_Use_Policy,Rank___Participation_in_rule_mak,Rank___Curfew_Policy,Rank___Pet_Policy,Rank___Partners_Policy,Rank___How_Clean_it_is,Preferred_B1Q1,Preferred_B1Q2,Preferred_B1Q3,Preferred_B1Q4,Preferred_B2Q1,Preferred_B2Q2,Preferred_B2Q3,Preferred_B2Q4,Preferred_B3Q1,Preferred_B3Q2,Preferred_B3Q3,Preferred_B3Q4,Outside_Option_B1Q1,Outside_Option_B1Q2,Outside_Option_B1Q3,Outside_Option_B1Q4,Outside_Option_B2Q1,Outside_Option_B2Q2,Outside_Option_B2Q3,Outside_Option_B2Q4,Outside_Option_B3Q1,Outside_Option_B3Q2,Outside_Option_B3Q3,Outside_Option_B3Q4,trigger___Selected_Choice_Family,trigger___Selected_Choice_Chose_,trigger___Selected_Choice_Divorc,trigger___Selected_Choice_Could_,trigger___Selected_Choice_Rent_i,trigger___Selected_Choice_Evicti,trigger___Selected_Choice_Releas,trigger___Selected_Choice_Other_,trigger___Other__Specify____Text
1,R_5bVuOjO1LkC92bP,2025-06-30 19:34:49,37.798748,-122.282278,coord_dms,187.2,0.0,Female,37.0,White,,,,,4,4,9,9,0.4166666666666667,Partners Policy,2.0,10.0,3.0,9.0,6.0,12.0,8.0,11.0,7.0,5.0,1.0,4.0,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,,,,,,,,Other (Specify),Left after leasewas up; me ntal health
2,R_biportek5nmwAIS,2025-06-30 19:34:50,37.798767,-122.282282,coord_decimal,188.3,1.0,Male,60.0,,,Black,,,4,4,9,9,0.8333333333333334,Length allowed to stay,2.0,1.0,3.0,7.0,12.0,8.0,9.0,4.0,5.0,10.0,11.0,6.0,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,,,,,,,Other (Specify),Medical issue
3,R_brkQYvLApOLuQ18,2025-06-30 19:34:51,37.798697,-122.282288,coord_decimal,186.9,0.0,Male,34.0,White,,,,,4,4,9,9,0.4166666666666667,Length allowed to stay,7.0,1.0,3.0,2.0,9.0,4.0,5.0,10.0,8.0,12.0,11.0,6.0,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,,,,,,,,Other (Specify),Failec to check in with SRO/supported housing
4,R_8oDKAsd5wRFA6cB,2025-06-30 19:34:53,37.798678,-122.282153,coord_decimal,1526.1,1.0,Female,54.0,White,,,,,4,4,9,9,0.6666666666666666,Pet Policy,2.0,3.0,5.0,7.0,11.0,8.0,10.0,9.0,6.0,1.0,12.0,4.0,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,,,,,,
5,R_5PxwWVPfBA9kgrw,2025-06-30 19:34:54,37.801922,-122.286275,coord_decimal,77.8,1.0,Female,37.0,White,,,,,0,0,3,2,0.5,Security Guards,3.0,12.0,1.0,8.0,10.0,6.0,7.0,11.0,5.0,9.0,4.0,2.0,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,,,,,,,,Other (Specify),Relationship wasbeing pimped
6,R_jhA0Tueg0Ir7DVK,2025-06-30 19:34:55,37.801983,-122.28624,coord_decimal,78.4,1.0,Male,45.0,White,,,,,0,0,3,2,0.75,Participation in rule mak,2.0,3.0,12.0,6.0,8.0,4.0,5.0,1.0,11.0,9.0,10.0,7.0,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,,,,,Eviction,,,
7,R_dd7soeLp3PVPO2f,2025-06-30 19:34:56,37.802013,-122.286198,coord_decimal,77.2,1.0,Male,46.0,,,Black,,No Shelter/Outside,0,0,3,2,0.9166666666666666,How Clean it is,2.0,7.0,3.0,5.0,10.0,9.0,4.0,8.0,6.0,12.0,11.0,1.0,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Released from jail/prison,,
8,R_7NIRAvk4HyeO5yP,2025-06-30 19:34:56,37.801967,-122.286068,coord_decimal,64.9,1.0,Male,55.0,,,Black,,,0,0,3,2,1.0,Participation in rule mak,2.0,6.0,5.0,7.0,11.0,10.0,9.0,1.0,4.0,12.0,8.0,3.0,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Other (Specify),"Was in supported housing, didnt come check in enough which was part of rules"
9,R_g4mmEOLMFhUsrU8,2025-06-30 19:34:57,37.802012,-122.28598,coord_decimal,62.4,0.0,Male,45.0,White,,,,,0,0,3,2,0.5833333333333334,Partners Policy,3.0,6.0,4.0,8.0,11.0,9.0,5.0,10.0,12.0,7.0,1.0,2.0,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,,,,,,
10,R_7nwuhAgXHxUQTga,2025-07-01 17:05:09,37.819923,-122.290702,coord_decimal,701.4,1.0,Male,54.0,White,,,,No Shelter/Outside,3,3,49,41,0.5,Level of privacy,1.0,2.0,3.0,7.0,12.0,6.0,8.0,11.0,5.0,10.0,9.0,4.0,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,,,,,,,,Other (Specify),"Transitional housing program ended, no housing"
