new_id,Response_ID,Recorded_Date,Location_Latitude,Location_Longitude,input_location,input_category,input_lat,input_lon,distance_m,best_lat,best_lon,sweep,gender,age,race_White,race_Hispanic,race_Black,race_Asian,race_American_Indian,last_30_noshelter,_3year_noshelter,Rank___Level_of_privacy,Rank___Length_allowed_to_stay,Rank___Security_Guards,Rank___Case_Management,Rank___Close_to_transit,Rank___Proximity_to_where_you_st,Rank___Substance_Use_Policy,Rank___Participation_in_rule_mak,Rank___Curfew_Policy,Rank___Pet_Policy,Rank___Partners_Policy,Rank___How_Clean_it_is,Preferred_B1Q1,Preferred_B1Q2,Preferred_B1Q3,Preferred_B1Q4,Preferred_B2Q1,Preferred_B2Q2,Preferred_B2Q3,Preferred_B2Q4,Preferred_B3Q1,Preferred_B3Q2,Preferred_B3Q3,Preferred_B3Q4,Outside_Option_B1Q1,Outside_Option_B1Q2,Outside_Option_B1Q3,Outside_Option_B1Q4,Outside_Option_B2Q1,Outside_Option_B2Q2,Outside_Option_B2Q3,Outside_Option_B2Q4,Outside_Option_B3Q1,Outside_Option_B3Q2,Outside_Option_B3Q3,Outside_Option_B3Q4,trigger___Selected_Choice_Family,trigger___Selected_Choice_Chose_,trigger___Selected_Choice_Divorc,trigger___Selected_Choice_Could_,trigger___Selected_Choice_Rent_i,trigger___Selected_Choice_Evicti,trigger___Selected_Choice_Releas,trigger___Selected_Choice_Other_,trigger___Other__Specify____Text
1,R_5bVuOjO1LkC92bP,2025-06-30 19:34:49,37.798748,-122.282278,"37.47,53.9,,N 122.16,48.8w",coord_dms,37.79830555555555,-122.28022222222222,187.2,37.798748,-122.282278,0.0,Female,37.0,White,,,,,,,2,10,3,9,6,12,8,11,7,5,1,4,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,,,,,,,,Other (Specify),Left after leasewas up; me ntal health
2,R_biportek5nmwAIS,2025-06-30 19:34:50,37.798767,-122.282282,"37.7983096, -122.2802182",coord_decimal,37.7983096,-122.2802182,188.3,37.798767,-122.282282,1.0,Male,60.0,,,Black,,,,,2,1,3,7,12,8,9,4,5,10,11,6,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,,,,,,,Other (Specify),Medical issue
3,R_brkQYvLApOLuQ18,2025-06-30 19:34:51,37.798697,-122.282288,"37.7983096, -122.2802182",coord_decimal,37.7983096,-122.2802182,186.9,37.798697,-122.282288,0.0,Male,34.0,White,,,,,,,7,1,3,2,9,4,5,10,8,12,11,6,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,,,,,,,,Other (Specify),Failec to check in with SRO/supported housing
4,R_8oDKAsd5wRFA6cB,2025-06-30 19:34:53,37.798678,-122.282153,"37.7939877, -122.2658298",coord_decimal,37.7939877,-122.2658298,1526.1,37.798678,-122.282153,1.0,Female,54.0,White,,,,,,,2,3,5,7,11,8,10,9,6,1,12,4,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,,,,,,
5,R_5PxwWVPfBA9kgrw,2025-06-30 19:34:54,37.801922,-122.286275,"37.8016123, -122.2854810",coord_decimal,37.8016123,-122.285481,77.8,37.801922,-122.286275,1.0,Female,37.0,White,,,,,,,3,12,1,8,10,6,7,11,5,9,4,2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,,,,,,,,Other (Specify),Relationship wasbeing pimped
6,R_jhA0Tueg0Ir7DVK,2025-06-30 19:34:55,37.801983,-122.28624,"37.8016123, -122.2854810",coord_decimal,37.8016123,-122.285481,78.4,37.801983,-122.28624,1.0,Male,45.0,White,,,,,,,2,3,12,6,8,4,5,1,11,9,10,7,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,,,,,Eviction,,,
7,R_dd7soeLp3PVPO2f,2025-06-30 19:34:56,37.802013,-122.286198,"37.8016123, -122.2854810",coord_decimal,37.8016123,-122.285481,77.2,37.802013,-122.286198,1.0,Male,46.0,,,Black,,,,No Shelter/Outside,2,7,3,5,10,9,4,8,6,12,11,1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Released from jail/prison,,
8,R_7NIRAvk4HyeO5yP,2025-06-30 19:34:56,37.801967,-122.286068,"37.8016123, -122.2854810",coord_decimal,37.8016123,-122.285481,64.9,37.801967,-122.286068,1.0,Male,55.0,,,Black,,,,,2,6,5,7,11,10,9,1,4,12,8,3,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 2,Housing Type 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Other (Specify),"Was in supported housing, didnt come check in enough which was part of rules"
9,R_g4mmEOLMFhUsrU8,2025-06-30 19:34:57,37.802012,-122.28598,"37.8016123, -122.2854810",coord_decimal,37.8016123,-122.285481,62.4,37.802012,-122.28598,0.0,Male,45.0,White,,,,,,,3,6,4,8,11,9,5,10,12,7,1,2,Housing Type 2,Housing Type 2,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,"Family/friend/roommate asked me to leave (dispute, needed room, etc.)",,,,,,,,
10,R_7nwuhAgXHxUQTga,2025-07-01 17:05:09,37.819923,-122.290702,"37.8261608, -122.2918868",coord_decimal,37.8261608,-122.2918868,701.4,37.819923,-122.290702,1.0,Male,54.0,White,,,,,,No Shelter/Outside,1,2,3,7,12,6,8,11,5,10,9,4,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 1,Housing Type 2,Housing Type 1,Housing Type 2,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,,,,,,,,Other (Specify),"Transitional housing program ended, no housing"
