Location_Latitude,Location_Longitude,input_location,new_id
37.798748,-122.282278,"37.47,53.9,,N 122.16,48.8w",1.0
37.798767,-122.282282,"37.7983096, -122.2802182",2.0
37.798697,-122.282288,"37.7983096, -122.2802182",3.0
37.798678,-122.282153,"37.7939877, -122.2658298",4.0
37.801922,-122.286275,"37.8016123, -122.2854810",5.0
37.801983,-122.28624,"37.8016123, -122.2854810",6.0
37.802013,-122.286198,"37.8016123, -122.2854810",7.0
37.801967,-122.286068,"37.8016123, -122.2854810",8.0
37.802012,-122.28598,"37.8016123, -122.2854810",9.0
37.819923,-122.290702,"37.8261608, -122.2918868",10.0
37.819918,-122.290792,"37.8261608, -122.2918868",11.0
37.819943,-122.290797,"37.8261608, -122.2918868",12.0
37.819895,-122.290742,"37.7549401, -122.1961990",13.0
37.788647,-122.402667,"37.7883069, -122.4025407",14.0
37.786835,-122.421003,"37.7866360, -122.4209084",15.0
37.786768,-122.42104,"37.7866360, -122.4209084",16.0
37.786703,-122.421032,"37.7866360, -122.4209084",17.0
37.785223,-122.412945,"37.7847862, -122.4126821",18.0
37.931937,-122.359732,"37.9305425, -122.3521225",19.0
37.9319,-122.359748,"37.9336339, -122.3534304",20.0
37.931912,-122.359728,"37.9307467, -122.3677507",21.0
37.93196,-122.35978,"37.9738780, -122.5206581",22.0
37.931895,-122.359757,"37.9357324, -122.3471561",23.0
37.931855,-122.360123,"37.9327128, -122.3293137",24.0
37.819898,-122.290757,"37.8196646, -122.2910436",25.0
37.819918,-122.290732,"37.8196646, -122.2910436",26.0
37.819918,-122.290763,"37.8196646, -122.2910436",27.0
37.931917,-122.359828,"37.9305920, -122.3596951",28.0
37.931932,-122.359745,"37.9305920, -122.3596951",29.0
37.803337,-122.276473,"37.7798398, -122.2357750",30.0
37.933548,-122.332775,,31.0
37.933413,-122.332732,,32.0
37.933502,-122.332643,,33.0
37.933527,-122.332758,,34.0
37.933528,-122.332772,No,35.0
37.933547,-122.332742,Cuttig,36.0
37.933548,-122.332737,,37.0
37.933573,-122.332783,Cutting and 23rd,38.0
37.933573,-122.332733,Macdonald,39.0
37.933482,-122.33277,,40.0
37.822343,-122.291418,"37.8190798, -122.2905353",41.0
37.822207,-122.291287,"37.8190798, -122.2905353",42.0
,,"37.8190798, -122.2905353",43.0
37.821732,-122.291232,,44.0
37.821218,-122.291777,"37.8216091, -122.2912464",45.0
37.822157,-122.291222,,46.0
37.821895,-122.291767,"37.8215455, -122.2911093",47.0
37.821887,-122.291395,"37.8209194, -122.2917098",48.0
37.825945,-122.29121,"37.8169546, -122.2947105",49.0
37.821782,-122.291803,"37.8169013, -122.2949583",50.0
37.821687,-122.291193,"38.4247839, -120.1354571",51.0
,,"38.4247839, -120.1354571",52.0
37.821733,-122.29178,"38.4247839, -120.1354571",53.0
,,,54.0
37.821688,-122.291228,"37.8223188, -122.2901538",55.0
37.821688,-122.291178,34th st and Beach st,56.0
37.821705,-122.291777,,57.0
37.931958,-122.359748,,58.0
37.934668,-122.360645,Harbour way,59.0
37.936367,-122.365363,Macdonald 9th,60.0
37.931963,-122.359712,Harbour way richmond ca,61.0
37.931982,-122.359822,,62.0
37.780928,-122.409002,"37.7809032, -122.4086749",63.0
37.780945,-122.408912,"37.7809032, -122.4086749",64.0
37.780948,-122.408957,"37.7809032, -122.4086749",65.0
37.780968,-122.408858,"37.7809032, -122.4086749",66.0
37.780972,-122.40888,"37.7809032, -122.4086749",67.0
37.780947,-122.408902,"37.7868649, -122.4181551",68.0
37.780973,-122.409002,"37.7809541, -122.4084999",69.0
37.781197,-122.40856,"37.7809541, -122.4084999",70.0
37.78081,-122.408737,"37.7809541, -122.4084999",71.0
37.780902,-122.408833,"37.7809541, -122.4084999",72.0
37.7809,-122.408942,"37.7809541, -122.4084999",73.0
37.780882,-122.408927,"37.7809541, -122.4084999",74.0
37.784708,-122.412003,"37.7851996, -122.4106265",75.0
37.784553,-122.411963,"37.7851996, -122.4106265",76.0
37.784703,-122.412005,"37.8087300, -122.3638827",77.0
37.784727,-122.412023,"37.7875530, -122.4132420",78.0
37.784772,-122.412025,"37.7849982, -122.4111794",79.0
37.784717,-122.412004,"37.7849982, -122.4111794",80.0
