location_raw,district,sensitivity_zone,OPERATION START DATE,OPERATION END DATE,start_date,end_date,duration_days,year,month,year_month,policy_era,intervention_primary,intervention_secondary,is_mixed_intervention,not_executed,is_self_closure,with_outreach,spatial_notes,location_type,location_for_geocoding,latitude,longitude,geocode_source,geocode_notes,intervention_raw
Robert Mason Fields/Golden Gate Playground,D1,High,"November 17, 2025","November 21, 2025",2025-11-17,2025-11-21,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,named_place,"Robert Mason Fields, Oakland, CA",37.8469,-122.296,known_place_lookup,,Closure
Cesar Chavez Park,D5,High,"November 10, 2025","November 14, 2025",2025-11-10,2025-11-14,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,named_place,"Cesar Chavez Park, Oakland, CA",37.7968,-122.2394,known_place_lookup,,Closure
Union Point Park,D5,High,"October 06, 2025","October 10, 2025",2025-10-06,2025-10-10,4,2025,10,2025-10,post_newsom_order,Closure,,False,False,False,False,,named_place,"Union Point Park, Oakland, CA",37.7742,-122.2316,known_place_lookup,,Closure
Marston Campbell Park (KIPP School),D3,High,"September 11, 2025","September 12, 2025",2025-09-11,2025-09-12,1,2025,9,2025-09,post_newsom_order,Closure,,False,False,False,False,,named_place,"Marston Campbell Park (KIPP School), Oakland, CA",37.7999,-122.2257,known_place_lookup,,Closure
Robert Mason Fields/Golden Gate Playground,D1,High,"June 05, 2025","June 06, 2025",2025-06-05,2025-06-06,1,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,named_place,"Robert Mason Fields, Oakland, CA",37.8469,-122.296,known_place_lookup,,Closure
"Wilma Chan Park (formerly ""Madison Park"")",D3,High,"May 06, 2025","May 07, 2025",2025-05-06,2025-05-07,1,2025,5,2025-05,post_newsom_order,Closure,,False,False,False,False,,named_place,"Wilma Chan Park (formerly ""Madison Park""), Oakland, CA",37.8039,-122.2362,known_place_lookup,,Closure
"Lake Merritt -- All Parks, City Assets, and Walkways",D3,High,"April 28, 2025","May 02, 2025",2025-04-28,2025-05-02,4,2025,4,2025-04,post_newsom_order,Closure,,False,False,False,False,,named_place,"Lake Merritt -- All Parks, City Assets, and Walkways, Oakland, CA",37.7982,-122.2587,known_place_lookup,,Closure
Mosswood Park,D3,High,"April 21, 2025","April 25, 2025",2025-04-21,2025-04-25,4,2025,4,2025-04,post_newsom_order,Closure,,False,False,False,False,,named_place,"Mosswood Park, Oakland, CA",37.8236,-122.2617,known_place_lookup,,Closure
"Lake Merritt -- All Parks, City Assets, and Walkways",D3,High,"April 21, 2025","April 25, 2025",2025-04-21,2025-04-25,4,2025,4,2025-04,post_newsom_order,Closure,,False,False,False,False,,named_place,"Lake Merritt -- All Parks, City Assets, and Walkways, Oakland, CA",37.7982,-122.2587,known_place_lookup,,Closure
"Lake Merritt -- All Parks, City Assets, and Walkways",D3,High,"April 14, 2025","April 18, 2025",2025-04-14,2025-04-18,4,2025,4,2025-04,post_newsom_order,Closure,,False,False,False,False,,named_place,"Lake Merritt -- All Parks, City Assets, and Walkways, Oakland, CA",37.7982,-122.2587,known_place_lookup,,Closure
Lake Merritt Blvd Underpass Near Peralta Park,D2,High,"April 07, 2025","April 11, 2025",2025-04-07,2025-04-11,4,2025,4,2025-04,post_newsom_order,Closure,,False,False,False,False,,named_place,"Lake Merritt Boulevard Underpass Near Peralta Park, Oakland, CA",37.7982,-122.2587,known_place_lookup,,Closure
Peralta Park,D2,High,"April 07, 2025","April 11, 2025",2025-04-07,2025-04-11,4,2025,4,2025-04,post_newsom_order,Closure,,False,False,False,False,,named_place,"Peralta Park, Oakland, CA",37.8175,-122.2779,known_place_lookup,,Closure
"Lake Merritt -- All Parks, City Assets, and Walkways",D3,High,"April 07, 2025","April 11, 2025",2025-04-07,2025-04-11,4,2025,4,2025-04,post_newsom_order,Closure,,False,False,False,False,,named_place,"Lake Merritt -- All Parks, City Assets, and Walkways, Oakland, CA",37.7982,-122.2587,known_place_lookup,,Closure
"Lake Merritt -- All Parks, City Assets, and Walkways",D3,High,"April 02, 2025","April 04, 2025",2025-04-02,2025-04-04,2,2025,4,2025-04,post_newsom_order,Closure,,False,False,False,False,,named_place,"Lake Merritt -- All Parks, City Assets, and Walkways, Oakland, CA",37.7982,-122.2587,known_place_lookup,,Closure
Lafayette Square Park,D3,High,"March 18, 2025","March 21, 2025",2025-03-18,2025-03-21,3,2025,3,2025-03,post_newsom_order,Closure,,False,False,False,False,,named_place,"Lafayette Square Park, Oakland, CA",37.8077,-122.2693,known_place_lookup,,Closure
Estuary Park/Jack London Aquatic Center,D3,High,"March 17, 2025","March 21, 2025",2025-03-17,2025-03-21,4,2025,3,2025-03,post_newsom_order,Closure,,False,False,False,False,,named_place,"Estuary Park, Oakland, CA",37.7907,-122.249,known_place_lookup,,Closure
Helen Mc Gregor Plaza,D1,High,"March 17, 2025","March 19, 2025",2025-03-17,2025-03-19,2,2025,3,2025-03,post_newsom_order,Closure,,False,False,False,False,,named_place,"Helen Mc Gregor Plaza, Oakland, CA",37.804,-122.268,known_place_lookup,,Closure
