location_raw,district,sensitivity_zone,OPERATION START DATE,OPERATION END DATE,start_date,end_date,duration_days,year,month,year_month,policy_era,intervention_primary,intervention_secondary,is_mixed_intervention,not_executed,is_self_closure,with_outreach,spatial_notes,location_type,location_for_geocoding,latitude,longitude,geocode_source,intervention_raw
23rd St. between MLK and San Pablo,D3,High,"November 24, 2025","November 26, 2025",2025-11-24,2025-11-26,2,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"23rd Street. between Martin Luther King Jr Boulevard and San Pablo, Oakland, CA",,,,Closure
San Pablo Ave between 23rd St and W Grand Ave,D3,High,"November 24, 2025","November 26, 2025",2025-11-24,2025-11-26,2,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"San Pablo Avenue between 23rd Street and West Grand Avenue, Oakland, CA",,,,Closure
San Pablo Ave between W Grand Ave & MLK,D3,High,"November 24, 2025","November 26, 2025",2025-11-24,2025-11-26,2,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"San Pablo Avenue between West Grand Avenue & Martin Luther King Jr Boulevard, Oakland, CA",,,,Closure
MLK between San Pablo Ave & W Grand Ave,D3,High,"November 24, 2025","November 26, 2025",2025-11-24,2025-11-26,2,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between San Pablo Avenue & West Grand Avenue, Oakland, CA",,,,Closure
MLk between W Grand Ave & 23rd,D3,High,"November 24, 2025","November 26, 2025",2025-11-24,2025-11-26,2,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between West Grand Avenue & 23rd, Oakland, CA",,,,Closure
W Grand Ave between San Pablo Ave & MLK,D3,High,"November 24, 2025","November 26, 2025",2025-11-24,2025-11-26,2,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"West Grand Avenue between San Pablo Avenue & Martin Luther King Jr Boulevard, Oakland, CA",,,,Closure
5th ST/5th ST and Washington,D3,High,"November 17, 2025","November 21, 2025",2025-11-17,2025-11-21,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"5th ST, Oakland, CA",,,,Closure
37th Ave between E. 9th St and San Leandro St,D5,High,"November 17, 2025","November 21, 2025",2025-11-17,2025-11-21,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"37th Avenue between East 9th Street and San Leandro Street, Oakland, CA",,,,Closure
MLK between San Pablo Ave & W Grand Ave,D3,High,"November 17, 2025","November 21, 2025",2025-11-17,2025-11-21,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between San Pablo Avenue & West Grand Avenue, Oakland, CA",,,,Closure
Washington St between 4th St and 5th St,D3,High,"November 17, 2025","November 21, 2025",2025-11-17,2025-11-21,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"Washington Street between 4th Street and 5th Street, Oakland, CA",,,,Closure
San Pablo Ave between W Grand Ave & MLK,D3,High,"November 17, 2025","November 21, 2025",2025-11-17,2025-11-21,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"San Pablo Avenue between West Grand Avenue & Martin Luther King Jr Boulevard, Oakland, CA",,,,Closure
San Pablo Ave between 23rd St and W Grand Ave,D3,High,"November 17, 2025","November 21, 2025",2025-11-17,2025-11-21,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"San Pablo Avenue between 23rd Street and West Grand Avenue, Oakland, CA",,,,Closure
MLk between W Grand Ave & 23rd,D3,High,"November 17, 2025","November 21, 2025",2025-11-17,2025-11-21,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between West Grand Avenue & 23rd, Oakland, CA",,,,Closure
W Grand Ave between San Pablo Ave & MLK,D3,High,"November 17, 2025","November 21, 2025",2025-11-17,2025-11-21,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"West Grand Avenue between San Pablo Avenue & Martin Luther King Jr Boulevard, Oakland, CA",,,,Closure
23rd St. between MLK and San Pablo,D3,High,"November 17, 2025","November 21, 2025",2025-11-17,2025-11-21,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"23rd Street. between Martin Luther King Jr Boulevard and San Pablo, Oakland, CA",,,,Closure
San Pablo Ave between 59th St & 60th St,D1,High,"November 17, 2025","November 21, 2025",2025-11-17,2025-11-21,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"San Pablo Avenue between 59th Street & 60th Street, Oakland, CA",,,,Closure
59th St between Herzog St and San Pablo Ave,D1,High,"November 17, 2025","November 21, 2025",2025-11-17,2025-11-21,4,2025,11,2025-11,post_newsom_order,Closure,,False,False,False,False,,intersection,"59th Street between Herzog Street and San Pablo Avenue, Oakland, CA",,,,Closure
