location_raw,location_type,location_for_geocoding,latitude,longitude,geocode_source,geocode_notes
2121 E. 12th St/23rd Ave and E. 12th St,address,"2121 East 12th Street, Oakland, CA",37.7842999,-122.2400942,nominatim,
3902 Manila Ave/Manila between 38th & 40th St,address,"3902 Manila Avenue, Oakland, CA",37.8273801,-122.2581141,nominatim,
2121 E. 12th /2199 E.12th/@23rd Bridge,address,"2121 East 12th, Oakland, CA",37.7842884,-122.2393283,nominatim,
956 West Grand,address,"956 West Grand, Oakland, CA",37.8140007,-122.2777949,nominatim,
7779 Pardee Lane,address,"7779 Pardee Lane, Oakland, CA",37.7422654,-122.2063338,nominatim,
9809 Kitty Lane,address,"9809 Kitty Lane, Oakland, CA",37.7273119,-122.1965349,nominatim,
615 High Street,address,"615 High Street, Oakland, CA",37.767424,-122.2211806,nominatim,
7001 San Leandro St (71st Ave and San Leandro St (Safe RV Site ROW),address,"7001 San Leandro Street (71st Avenue and San Leandro Street (Safe RV Site ROW), Oakland, CA",,,nominatim_no_result,nominatim_no_result
100 Oak St/Oak St & Fallon St,address,"100 Oak Street, Oakland, CA",37.7925486,-122.2678347,nominatim,
3326 Chestnut / Chestnut between 32nd - 34th,address,"3326 Chestnut, Oakland, CA",37.8247739,-122.2792074,nominatim,
330 Chestnut Street,address,"330 Chestnut Street, Oakland, CA",37.8012784,-122.2875031,nominatim,
5840 Harmon Avenue,address,"5840 Harmon Avenue, Oakland, CA",37.7685552,-122.1950487,nominatim,
668 27th St/ MLK and 27th,address,"668 27th Street, Oakland, CA",37.8173787,-122.2722361,nominatim,
7014 Hamilton St,address,"7014 Hamilton Street, Oakland, CA",37.7583437,-122.1919082,nominatim,
4761 Redding Street,address,"4761 Redding Street, Oakland, CA",37.7834215,-122.1902413,nominatim,
3616 San Leandro St/37th and San Leandro St,address,"3616 San Leandro Street, Oakland, CA",37.7736148,-122.222749,nominatim,
2540 West Street,address,"2540 West Street, Oakland, CA",37.8163709,-122.2743651,nominatim,
2863 E. 9th Street,address,"2863 East 9th Street, Oakland, CA",37.775938,-122.2332247,nominatim,
400 Lancaster St,address,"400 Lancaster Street, Oakland, CA",37.770361,-122.2301873,nominatim,
5920 San Pablo / 59th�Street & San Pablo Ave�,address,"5920 San Pablo, Oakland, CA",37.8424963,-122.2833663,nominatim,
692 Baldwin,address,"692 Baldwin, Oakland, CA",37.7465766,-122.1941628,nominatim,
1310 Oak St,address,"1310 Oak Street, Oakland, CA",37.8005089,-122.2631507,nominatim,
