location_raw,location_type,location_for_geocoding,latitude,longitude,geocode_source,geocode_notes
2121 E. 12th St/23rd Ave and E. 12th St,address,"2121 East 12th Street, Oakland, CA",,,,
3902 Manila Ave/Manila between 38th & 40th St,address,"3902 Manila Avenue, Oakland, CA",,,,
2121 E. 12th /2199 E.12th/@23rd Bridge,address,"2121 East 12th, Oakland, CA",,,,
956 West Grand,address,"956 West Grand, Oakland, CA",,,,
7779 Pardee Lane,address,"7779 Pardee Lane, Oakland, CA",,,,
9809 Kitty Lane,address,"9809 Kitty Lane, Oakland, CA",,,,
615 High Street,address,"615 High Street, Oakland, CA",,,,
7001 San Leandro St (71st Ave and San Leandro St (Safe RV Site ROW),address,"7001 San Leandro Street (71st Avenue and San Leandro Street (Safe RV Site ROW), Oakland, CA",,,,
100 Oak St/Oak St & Fallon St,address,"100 Oak Street, Oakland, CA",,,,
3326 Chestnut / Chestnut between 32nd - 34th,address,"3326 Chestnut, Oakland, CA",,,,
330 Chestnut Street,address,"330 Chestnut Street, Oakland, CA",,,,
5840 Harmon Avenue,address,"5840 Harmon Avenue, Oakland, CA",,,,
668 27th St/ MLK and 27th,address,"668 27th Street, Oakland, CA",,,,
7014 Hamilton St,address,"7014 Hamilton Street, Oakland, CA",,,,
4761 Redding Street,address,"4761 Redding Street, Oakland, CA",,,,
3616 San Leandro St/37th and San Leandro St,address,"3616 San Leandro Street, Oakland, CA",,,,
2540 West Street,address,"2540 West Street, Oakland, CA",,,,
2863 E. 9th Street,address,"2863 East 9th Street, Oakland, CA",,,,
400 Lancaster St,address,"400 Lancaster Street, Oakland, CA",,,,
5920 San Pablo / 59th�Street & San Pablo Ave�,address,"5920 San Pablo, Oakland, CA",,,,
692 Baldwin,address,"692 Baldwin, Oakland, CA",,,,
1310 Oak St,address,"1310 Oak Street, Oakland, CA",,,,
10451 MacArthur Blvd.,address,"10451 MacArthur Boulevard, Oakland, CA",,,,
6th St between Franklin and Broadway,intersection,"6th Street between Franklin and Broadway, Oakland, CA",,,,
San Leandro Street between Seminary & 66th Avenue,intersection,"San Leandro Street between Seminary & 66th Avenue, Oakland, CA",,,,
73rd and San Leandro St/Coliseum/Airport Amtrak,intersection,"73rd and San Leandro Street, Oakland, CA",,,,
Harrison St between 4th St and 5th St,intersection,"Harrison Street between 4th Street and 5th Street, Oakland, CA",,,,
5th St between Harrison St and Webster St,intersection,"5th Street between Harrison Street and Webster Street, Oakland, CA",,,,
Baldwin between Hegenberger and 85th Ave,intersection,"Baldwin between Hegenberger and 85th Avenue, Oakland, CA",,,,
Lakeshore Ave between Boden Ave & Brooklyn Ave,intersection,"Lakeshore Avenue between Boden Avenue & Brooklyn Avenue, Oakland, CA",,,,
Cul de sac at 36th Ave and E. 9th St,intersection,"Cul de sac at 36th Avenue and East 9th Street, Oakland, CA",,,,
73rd Ave and Hawley St Access Road,intersection,"73rd Avenue and Hawley Street Access Road, Oakland, CA",,,,
71st Ave and San Leandro St: 700 71st St,intersection,"71st Avenue and San Leandro Street, Oakland, CA",,,,
Telegraph Ave between 23rd St and W Grand Ave,intersection,"Telegraph Avenue between 23rd Street and West Grand Avenue, Oakland, CA",,,,
