"LOCATION","DISTRICT","SENSITIVITY ZONE","INTERVENTION","OPERATION START DATE","OPERATION END DATE"
"23rd St. between MLK and San Pablo","D3","High","Closure","November 24, 2025","November 26, 2025"
"San Pablo Ave between 23rd St and W Grand Ave","D3","High","Closure","November 24, 2025","November 26, 2025"
"San Pablo Ave between W Grand Ave & MLK","D3","High","Closure","November 24, 2025","November 26, 2025"
"MLK between San Pablo Ave & W Grand Ave","D3","High","Closure","November 24, 2025","November 26, 2025"
"MLk between W Grand Ave & 23rd","D3","High","Closure","November 24, 2025","November 26, 2025"
"W Grand Ave between San Pablo Ave & MLK","D3","High","Closure","November 24, 2025","November 26, 2025"
"5th ST/5th ST and Washington","D3","High","Closure","November 17, 2025","November 21, 2025"
"37th Ave between E. 9th St and San Leandro St","D5","High","Closure","November 17, 2025","November 21, 2025"
"MLK between San Pablo Ave & W Grand Ave","D3","High","Closure","November 17, 2025","November 21, 2025"
"Washington St between 4th St and 5th St","D3","High","Closure","November 17, 2025","November 21, 2025"
"San Pablo Ave between W Grand Ave & MLK","D3","High","Closure","November 17, 2025","November 21, 2025"
"San Pablo Ave between 23rd St and W Grand Ave","D3","High","Closure","November 17, 2025","November 21, 2025"
"MLk between W Grand Ave & 23rd","D3","High","Closure","November 17, 2025","November 21, 2025"
"W Grand Ave between San Pablo Ave & MLK","D3","High","Closure","November 17, 2025","November 21, 2025"
"23rd St. between MLK and San Pablo","D3","High","Closure","November 17, 2025","November 21, 2025"
"San Pablo Ave between 59th St & 60th St","D1","High","Closure","November 17, 2025","November 21, 2025"
"59th St between Herzog St and San Pablo Ave","D1","High","Closure","November 17, 2025","November 21, 2025"
"Robert Mason Fields/Golden Gate Playground","D1","High","Closure","November 17, 2025","November 21, 2025"
"Cesar Chavez Park","D5","High","Closure","November 10, 2025","November 14, 2025"
"San Pablo Ave between W Grand Ave & MLK","D3","High","Closure","November 10, 2025","November 14, 2025"
"San Pablo Ave between 23rd St and W Grand Ave","D3","High","Closure","November 10, 2025","November 14, 2025"
"23rd St. between MLK and San Pablo","D3","High","Closure","November 10, 2025","November 14, 2025"
"W Grand Ave between San Pablo Ave & MLK","D3","High","Closure","November 10, 2025","November 14, 2025"
"MLk between W Grand Ave & 23rd","D3","High","Closure","November 10, 2025","November 14, 2025"
"MLK between San Pablo Ave & W Grand Ave","D3","High","Closure","November 10, 2025","November 14, 2025"
"Median at Peralta St and 32nd St","D3","High","Deep Cleaning","November 10, 2025","November 14, 2025"
"36th Ave between Foothill Blvd and Harper St","D5","High","Closure","November 10, 2025","November 14, 2025"
"Foothill Blvd between Crosby Ave and Harrington Ave","D5","High","Closure","November 10, 2025","November 14, 2025"
"Foothill Blvd between Crosby Ave & 36th Ave","D5","High","Closure","November 10, 2025","November 14, 2025"
"Crosby Ave between Foothill Blvd and Harper St","D5","High","Closure","November 10, 2025","November 14, 2025"
"Cul-de-sac at 73rd Ave and Herbert Guice Way","D6","High","Closure","November 06, 2025","November 07, 2025"
"MLK between San Pablo Ave & W Grand Ave","D3","High","Closure","November 03, 2025","November 07, 2025"
"MLk between W Grand Ave & 23rd","D3","High","Closure","November 03, 2025","November 07, 2025"
"W Grand Ave between San Pablo Ave & MLK","D3","High","Closure","November 03, 2025","November 07, 2025"
"23rd St. between MLK and San Pablo","D3","High","Closure","November 03, 2025","November 07, 2025"
"San Pablo Ave between 23rd St and W Grand Ave","D3","High","Closure","November 03, 2025","November 07, 2025"
"San Pablo Ave between W Grand Ave & MLK","D3","High","Closure","November 03, 2025","November 07, 2025"
"Church St between Foohill Blvd and Bancroft Ave","D6","High","Closure","November 03, 2025","November 07, 2025"
"Hilton St between 55th Ave and Bancroft Ave","D6","High","Closure","November 03, 2025","November 07, 2025"
"Bancroft between Hilton St and Trask St","D6","High","Closure","November 03, 2025","November 07, 2025"
"Bancroft Ave between 55th Ave and Hilton St","D6","High","Closure","November 03, 2025","November 07, 2025"
"Bancroft between Cole St and 55th St","D6","High","Closure","November 03, 2025","November 07, 2025"
"55th Ave between Bancroft Ave & Hilton St","D6","High","Closure","November 03, 2025","November 07, 2025"
"55th Ave between Hilton St & Foothill Blvd","D6","High","Closure","November 03, 2025","November 07, 2025"
"San Leandro St between Prune St and 100th Ave","D7","High","Closure","October 27, 2025","October 31, 2025"
"98th Ave between Edes Ave and Walter Ave","D7","High","Closure","October 27, 2025","October 31, 2025"
"98th Ave between Walter Ave and Railroad Ave","D7","High","Closure","October 27, 2025","October 31, 2025"
"Tyler st between Railroad Ave and Walter Ave","D7","High","Closure","October 27, 2025","October 31, 2025"
"San Leandro St between 92nd Ave & 98th Ave","D7","High","Closure","October 27, 2025","October 31, 2025"
"Pearmain St between 98th Ave and Prune St","D7","High","Closure","October 27, 2025","October 31, 2025"
"Pearmain St between 100th Ave and Prune St","D7","High","Closure","October 27, 2025","October 31, 2025"
"Pearmain St between Douglas Ave and 100th Ave","D7","High","Closure","October 27, 2025","October 31, 2025"
"Pearmain St between Douglas Ave and Stone St","D7","High","Closure","October 27, 2025","October 31, 2025"
